Supergroup,Group
Rural residents,Farming communities
,Rural tenants
,Ageing rural dwellers
Cosmopolitans,Students around campus
,Inner city students
,Comfortable cosmopolitan
,Aspiring and affluent
Ethnicity central,Ethnic family life
,Endeavouring ethnic mix
,Ethnic dynamics
,Aspirational techies
Multicultural metropolitans,Rented family living
,Challenged Asian terraces
,Asian traits
Urbanites,Urban professionals and families
,Ageing urban living
Suburbanites,Suburban achievers
,Semi-detached suburbia
Constrained city dwellers,Challenged diversity
,Constrained flat dwellers
,White communities
,Ageing city dwellers
Hard-pressed living,Industrious communities
,Challenged terraced workers
,Hard-pressed ageing workers
,Migration and churn
